name,ccode,conflict,ongoing,year,time,t2,t3,hhi,population,GDPpc,dem,colfra,colbrit,LandArea,f1conflict,f2conflict,l1hhi,hhi2,AidgdpMovAvg4,AidgdpMovAvg5,AidgdpDrop4_15,AidgdpDrop4_5,AidgdpDrop5_5,AidgdpDrop5_15,hhiAidpopDrop4_15,hhiAidDrop4_15,gdp_time,gdp_t2,gdp_t3,l1GDPpc,l1LandArea,l1dem,l1population,reerus2,l1reerus2,l1dem2,hhiAidgdpDrop4_15,hhiAidgdpDrop5_15,hhiAidDrop5_15,hhiAidgdpDrop4_5,hhiAidgdpDrop5_5,disasters,f1AidgdpDrop5_15,l1disasters,f1GDPpc,f1dem,f1population,f1disasters,l1AidgdpMovAvg5,f1AidgdpMovAvg5,AidgdpDrop4_20,AidgdpDrop4_10,AidgdpDrop5_20,AidgdpDrop5_10,hhiAidgdpDrop4_20,hhiAidgdpDrop4_10,hhiAidgdpDrop5_20,hhiAidgdpDrop5_10,r_ccode,totprog_f,totcom,progshare,alltied,tiedshare,ShareNGODisb,ShareGovDisb,DepAidgdpMovAvg5
United States of America,2,0,0,1970,1,1,1,,,,,,,916192,0,0,,,,,0,0,0,0,,,1,1,1,,,,,138.04584,,,,,,,,6,0,,,,,4,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1971,2,4,8,,,,,,,916192,0,0,,,,,0,0,0,0,,,2,4,8,,916192,,,134.12083,138.04584,,,,,,,4,0,6,,,,10,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1972,3,9,27,,,,,,,916192,0,0,,,,,0,0,0,0,,,3,9,27,,916192,,,123.985,134.12083,,,,,,,10,0,4,,,,9,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1973,4,16,64,,,,,,,916192,0,0,,,,,0,0,0,0,,,4,16,64,,916192,,,112.57584,123.985,,,,,,,9,0,10,,,,6,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1974,5,25,125,,,,,,,916192,0,0,,,,,0,0,0,0,,,5,25,125,,916192,,,107.53333,112.57584,,,,,,,6,0,9,,,,10,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1975,6,36,216,,,,,,,916192,0,0,,,,,0,0,0,0,,,6,36,216,,916192,,,105.59583,107.53333,,,,,,,10,0,6,,,,5,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1976,7,49,343,,,,,,,916192,0,0,,,,,0,0,0,0,,,7,49,343,,916192,,,106.23083,105.59583,,,,,,,5,0,10,,,,12,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1977,8,64,512,,,,,,,916192,0,0,,,,,0,0,0,0,,,8,64,512,,916192,,,104.23333,106.23083,,,,,,,12,0,5,,,,10,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1978,9,81,729,,,,,,,916192,0,0,,,,,0,0,0,0,,,9,81,729,,916192,,,95.864166,104.23333,,,,,,,10,0,12,,,,10,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1979,10,100,1000,,,,,,,916192,0,0,,,,,0,0,0,0,,,10,100,1000,,916192,,,96.933334,95.864166,,,,,,,10,0,10,,,,14,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1980,11,121,1331,,,,,,,916192,0,0,,,,,0,0,0,0,,,11,121,1331,,916192,,,98.853333,96.933334,,,,,,,14,0,10,,,,7,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1981,12,144,1728,,,,,,,916192,0,0,,,,,0,0,0,0,,,12,144,1728,,916192,,,106.25417,98.853333,,,,,,,7,0,14,,,,18,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1982,13,169,2197,,,,,,,916192,0,0,,,,,0,0,0,0,,,13,169,2197,,916192,,,117.98417,106.25417,,,,,,,18,0,7,,,,13,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1983,14,196,2744,,,,,,,916192,0,0,,,,,0,0,0,0,,,14,196,2744,,916192,,,121.41333,117.98417,,,,,,,13,0,18,,,,17,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1984,15,225,3375,,,,,,,916192,0,0,,,,,0,0,0,0,,,15,225,3375,,916192,,,127.43833,121.41333,,,,,,,17,0,13,,,,18,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1985,16,256,4096,,,,,,,916192,0,0,,,,,0,0,0,0,,,16,256,4096,,916192,,,131.52834,127.43833,,,,,,,18,0,17,,,,10,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1986,17,289,4913,,,,,,,916192,0,0,,,,,0,0,0,0,,,17,289,4913,,916192,,,113.74833,131.52834,,,,,,,10,0,18,,,,21,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1987,18,324,5832,,,,,,,916192,0,0,,,,,0,0,0,0,,,18,324,5832,,916192,,,103.40334,113.74833,,,,,,,21,0,10,,,,26,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1988,19,361,6859,,,,,,,916192,0,0,,,,,0,0,0,0,,,19,361,6859,,916192,,,96.161667,103.40334,,,,,,,26,0,21,,,,35,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1989,20,400,8000,,,,,,,916192,0,0,,,,,0,0,0,0,,,20,400,8000,,916192,,,98.638336,96.161667,,,,,,,35,0,26,,,,32,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1990,21,441,9261,,,,,,,916192,0,0,,,,,0,0,0,0,,,21,441,9261,,916192,,,95.665001,98.638336,,,,,,,32,0,35,,,,46,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1991,22,484,10648,,,,,,,916192,0,0,,,,,0,0,0,0,,,22,484,10648,,916192,,,93.373329,95.665001,,,,,,,46,0,32,,,,35,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1992,23,529,12167,,,,,,,916192,0,0,,,,,0,0,0,0,,,23,529,12167,,916192,,,91.464165,93.373329,,,,,,,35,0,46,,,,37,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1993,24,576,13824,,,,,,,916192,0,0,,,,,0,0,0,0,,,24,576,13824,,916192,,,93.772499,91.464165,,,,,,,37,0,35,,,,29,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1994,25,625,15625,,,,,,,916192,0,0,,,,,0,0,0,0,,,25,625,15625,,916192,,,93.455002,93.772499,,,,,,,29,0,37,,,,25,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1995,26,676,17576,,,,,,,916192,0,0,,,,,0,0,0,0,,,26,676,17576,,916192,,,93.03083,93.455002,,,,,,,25,0,29,,,,25,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1996,27,729,19683,,,,,,,916192,0,0,,,,,0,0,0,0,,,27,729,19683,,916192,,,96.665833,93.03083,,,,,,,25,0,25,,,,39,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1997,28,784,21952,,,,,,,916192,0,0,,,,,0,0,0,0,,,28,784,21952,,916192,,,102.0325,96.665833,,,,,,,39,0,25,,,,41,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1998,29,841,24389,,,,,,,916192,0,0,,,,,0,0,0,0,,,29,841,24389,,916192,,,109.12333,102.0325,,,,,,,41,0,39,,,,34,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,1999,30,900,27000,,,,,,,916192,0,1,,,,,0,0,0,0,,,30,900,27000,,916192,,,106.45417,109.12333,,,,,,,34,0,41,,,,38,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,2000,31,961,29791,,,,,,,916192,1,1,,,,,0,0,0,0,,,31,961,29791,,916192,,,110.07417,106.45417,,,,,,,38,0,34,,,,37,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,1,0,2001,32,1024,32768,,,,,,,916192,1,0,,,,,0,0,0,0,,,32,1024,32768,,916192,,,116.35583,110.07417,,,,,,,37,0,38,,,,38,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,1,1,2002,1,1,1,,,,,,,916192,0,1,,,,,0,0,0,0,,,33,1089,35937,,916192,,,115.44833,116.35583,,,,,,,38,0,37,,,,35,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,0,0,2003,1,1,1,,,,,,,916192,1,1,,,,,0,0,0,0,,,34,1156,39304,,916192,,,106.73666,115.44833,,,,,,,35,0,38,,,,27,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,1,0,2004,2,4,8,,,,,,,916192,1,1,,,,,0,0,0,0,,,35,1225,42875,,916192,,,101.31084,106.73666,,,,,,,27,0,35,,,,22,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,1,1,2005,1,1,1,,,,,,,916192,1,1,,,,,0,0,0,0,,,36,1296,46656,,916192,,,99.999168,101.31084,,,,,,,22,0,27,,,,34,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,1,1,2006,1,1,1,,,,,,,916192,1,1,,,,,0,0,0,0,,,37,1369,50653,,916192,,,99.859169,99.999168,,,,,,,34,0,22,,,,26,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,1,1,2007,1,1,1,,,,,,,916192,1,,,,,,0,0,0,0,,,38,1444,54872,,916192,,,96.339996,99.859169,,,,,,,26,0,34,,,,27,,,0,0,0,0,,,,,2,,,,,,,,
United States of America,2,1,1,2008,1,1,1,,,,,,,916192,,,,,,,0,0,0,0,,,39,1521,59319,,916192,,,94.114998,96.339996,,,,,,,27,,26,,,,,,,0,0,0,0,,,,,2,,,,,,,,
Bahamas,31,0,0,1970,1,1,1,1,169744,70.614059,,0,1,1001,0,0,,1,,,0,0,0,0,0,0,1,1,1,,,,,138.04584,,,0,0,0,0,0,0,0,,67.953384,,174197,0,,6.9207126e-11,0,0,0,0,0,0,0,0,31,,,,,,,,
Bahamas,31,0,0,1971,2,4,8,1,174197,67.953384,,0,1,1001,0,0,1,1,6.9207126e-11,6.9207126e-11,0,0,0,0,0,0,2,4,8,70.614059,1001,,169744,134.12083,138.04584,,0,0,0,0,0,0,0,0,62.523243,,178097,0,,2.4829502e-10,0,0,0,0,0,0,0,0,31,,,,,,,,3.5817577e-10
Bahamas,31,0,0,1972,3,9,27,.9289127,178097,62.523243,,0,1,1001,0,0,1,.8628788,2.4829502e-10,2.4829502e-10,0,0,0,0,0,0,3,9,27,67.953384,1001,,174197,123.985,134.12083,,0,0,0,0,0,0,0,0,62.01939,1,181655,0,6.9207126e-11,1.0470774e-09,0,0,0,0,0,0,0,0,31,,,,,,,,2.3963471e-09
Bahamas,31,0,0,1973,4,16,64,.42961138,181655,62.01939,1,0,1,1001,0,0,.9289127,.18456595,1.0470774e-09,1.0470774e-09,0,0,0,0,0,0,4,16,64,62.523243,1001,,178097,112.57584,123.985,1,0,0,0,0,0,0,0,0,50.410507,1,185165,0,2.4829502e-10,8.2202695e-10,0,0,0,0,0,0,0,0,31,0,39,0,0,0,,,-9.0020197e-10
Bahamas,31,0,0,1974,5,25,125,.56040692,185165,50.410507,1,0,1,1001,0,0,.42961138,.31405592,8.2202695e-10,8.2202695e-10,0,0,0,0,0,0,5,25,125,62.01939,1001,1,181655,107.53333,112.57584,1,0,0,0,0,0,0,0,0,47.662285,1,188851,0,1.0470774e-09,6.9625666e-10,0,0,0,0,0,0,0,0,31,,,,,,,,-6.2885147e-10
Bahamas,31,0,0,1975,6,36,216,.79839176,188851,47.662285,1,0,1,1001,0,0,.56040692,.63742942,8.5301904e-10,6.9625666e-10,0,0,0,0,0,0,6,36,216,50.410507,1001,1,185165,105.59583,107.53333,1,0,0,0,0,0,0,0,0,47.932808,1,192774,0,8.2202695e-10,7.4949363e-10,0,0,0,0,0,0,0,0,31,,,,,,,,-3.6086464e-10
Bahamas,31,0,0,1976,7,49,343,.46230859,192774,47.932808,1,0,1,1001,0,0,.79839176,.21372923,8.3002133e-10,7.4949363e-10,0,0,0,0,0,0,7,49,343,47.662285,1001,1,188851,106.23083,105.59583,1,0,0,0,0,0,0,0,0,54.315739,1,196889,0,6.9625666e-10,7.2649270e-10,0,0,0,0,0,0,0,0,31,,,,,,,,-4.3711529e-10
Bahamas,31,0,0,1977,8,64,512,.21918169,196889,54.315739,1,0,1,1001,0,0,.46230859,.048040614,2.4695535e-10,7.2649270e-10,0,0,0,0,0,0,8,64,512,47.932808,1001,1,192774,104.23333,106.23083,1,0,0,0,0,0,0,0,0,58.980827,1,201181,0,7.4949363e-10,2.4677696e-10,0,0,0,0,0,0,0,0,31,0,4.5767002,0,0,0,,,-4.8042925e-10
Bahamas,31,0,0,1978,9,81,729,.47001204,201181,58.980827,1,0,1,1001,0,0,.21918169,.22091132,2.7175232e-10,2.4677696e-10,0,0,0,0,0,0,9,81,729,54.315739,1001,1,196889,95.864166,104.23333,1,0,0,0,0,0,0,0,0,79.750908,1,205601,0,7.2649270e-10,2.5111327e-10,0,0,0,0,0,0,0,0,31,0,6.1521001,0,0,0,,,-7.8219924e-11
Bahamas,31,0,0,1979,10,100,1000,.49348861,205601,79.750908,1,0,1,1001,0,0,.47001204,.243531,2.6559771e-10,2.5111327e-10,0,0,0,0,0,0,10,100,1000,58.980827,1001,1,201181,96.933334,95.864166,1,0,0,0,0,0,0,0,0,83.477112,1,210109,0,2.4677696e-10,2.5812105e-10,0,0,0,0,0,0,0,0,31,,,,,,,,-2.2898891e-11
Bahamas,31,0,0,1980,11,121,1331,.75602925,210109,83.477112,1,0,1,1001,0,0,.49348861,.57158023,2.3880331e-10,2.5812105e-10,0,0,0,0,0,0,11,121,1331,79.750908,1001,1,205601,98.853333,96.933334,1,0,0,0,0,0,0,0,0,73.737274,2,214732,0,2.5111327e-10,2.1811589e-10,0,0,0,0,0,0,0,0,31,,,,,,,,-1.2275485e-10
Bahamas,31,0,0,1981,12,144,1728,.51819921,214732,73.737274,2,0,1,1001,0,0,.75602925,.26853043,1.9455026e-10,2.1811589e-10,0,0,0,0,0,0,12,144,1728,83.477112,1001,1,210109,106.25417,98.853333,1,0,0,0,0,0,0,0,0,72.512238,2,219482,0,2.5812105e-10,1.7560638e-10,0,0,0,0,0,0,0,0,31,,,,,,,,-1.1828506e-10
Bahamas,31,0,0,1982,13,169,2197,.35782954,219482,72.512238,2,0,1,1001,0,0,.51819921,.12804198,1.5799211e-10,1.7560638e-10,0,0,0,0,0,0,13,169,2197,73.737274,1001,2,214732,117.98417,106.25417,2,0,0,0,0,0,0,0,0,67.072769,2,224280,0,2.1811589e-10,1.4152898e-10,0,0,0,0,0,0,0,0,31,,,,,,,,-9.9929946e-11
Bahamas,31,0,0,1983,14,196,2744,.38743299,224280,67.072769,2,0,1,1001,0,0,.35782954,.15010433,1.3477196e-10,1.4152898e-10,0,0,0,0,0,0,14,196,2744,72.512238,1001,2,219482,121.41333,117.98417,2,0,0,0,0,0,0,0,0,68.957771,2,229019,0,1.7560638e-10,1.2060009e-10,0,0,0,0,0,0,0,0,31,,,,,,,,-7.7616365e-11
Bahamas,31,0,0,1984,15,225,3375,.97169578,229019,68.957771,2,0,1,1001,0,0,.38743299,.94419271,9.3696523e-11,1.2060009e-10,0,0,0,0,0,0,15,225,3375,67.072769,1001,2,224280,127.43833,121.41333,2,0,0,0,0,0,0,0,0,74.862251,2,233626,1,1.4152898e-10,9.3972130e-10,0,0,0,0,0,0,0,0,31,,,,,,,,4.2032204e-09
Bahamas,31,0,0,1985,16,256,4096,.58645254,233626,74.862251,2,0,1,1001,0,0,.97169578,.34392658,1.1408101e-09,9.3972130e-10,0,0,0,0,.58645254,0,16,256,4096,68.957771,1001,2,229019,131.52834,127.43833,2,0,0,0,0,0,1,0,0,73.522209,2,238054,0,1.2060009e-10,9.3269703e-10,0,0,0,0,0,0,0,0,31,,,,,,,,-8.3947649e-10
Bahamas,31,0,0,1986,17,289,4913,.35471565,238054,73.522209,2,0,1,1001,0,0,.58645254,.12582318,1.1409136e-09,9.3269703e-10,0,0,0,0,.35471565,0,17,289,4913,74.862251,1001,2,233626,113.74833,131.52834,2,0,0,0,0,0,0,0,1,72.039192,2,242338,0,9.3972130e-10,9.2760760e-10,0,0,0,0,0,0,0,0,31,,,,,,,,-8.5831359e-10
Bahamas,31,0,0,1987,18,324,5832,.45738155,242338,72.039192,2,0,1,1001,0,0,.35471565,.20919788,1.1405904e-09,9.2760760e-10,0,0,0,0,.45738155,0,18,324,5832,73.522209,1001,2,238054,103.40334,113.74833,2,0,0,0,0,0,0,0,0,70.104973,2,246593,1,9.3269703e-10,9.2477265e-10,0,0,0,0,0,0,0,0,31,,,,,,,,-8.6610596e-10
Bahamas,31,0,0,1988,19,361,6859,.67161137,246593,70.104973,2,0,1,1001,0,0,.45738155,.45106184,1.1399877e-09,9.2477265e-10,0,0,0,0,.67161137,0,19,361,6859,72.039192,1001,2,242338,96.161667,103.40334,2,0,0,0,0,0,1,0,0,72.091805,2,250977,0,9.2760760e-10,9.2225538e-10,0,0,0,0,0,0,0,0,31,,,,,,,,-8.7344626e-10
Bahamas,31,0,0,1989,20,400,8000,.50083041,250977,72.091805,2,0,1,1001,0,0,.67161137,.2508311,7.1864077e-11,9.2225538e-10,0,0,0,0,0,0,20,400,8000,70.104973,1001,2,246593,98.638336,96.161667,2,0,0,0,0,0,0,0,1,69.27755,2,255603,1,9.2477265e-10,6.9885132e-11,0,0,0,0,0,0,0,0,31,,,,,,,,-8.6028601e-10
Bahamas,31,0,0,1990,21,441,9261,.49414349,255603,69.27755,2,0,1,1001,0,0,.50083041,.24417779,6.2295211e-11,6.9885132e-11,0,0,0,0,0,0,21,441,9261,72.091805,1001,2,250977,95.665001,98.638336,2,0,0,0,0,0,1,0,0,65.940079,2,260507,0,9.2225538e-10,7.6614749e-11,0,0,0,0,0,0,0,0,31,,,,,,,,6.4007750e-11
Bahamas,31,0,0,1991,22,484,10648,.77946621,260507,65.940079,2,0,1,1001,0,0,.49414349,.60756755,7.7172567e-11,7.6614749e-11,0,0,0,0,0,0,22,484,10648,69.27755,1001,2,255603,93.373329,95.665001,2,0,0,0,0,0,0,0,1,61.924885,1,265633,1,6.9885132e-11,7.6165560e-11,0,0,0,0,0,0,0,0,31,,,,,,,,-4.4772215e-12
Bahamas,31,0,0,1992,23,529,12167,.44801542,265633,61.924885,1,0,1,1001,0,0,.77946621,.20071782,7.9831537e-11,7.6165560e-11,0,0,0,0,0,0,23,529,12167,65.940079,1001,2,260507,91.464165,93.373329,2,0,0,0,0,0,1,0,0,57.211044,1,270885,0,7.6614749e-11,8.6515968e-11,0,0,0,0,0,0,0,0,31,0,88.9702,0,20,.22479437,,,3.7088131e-11
Bahamas,31,0,0,1993,24,576,13824,.60777831,270885,57.211044,1,0,1,1001,0,0,.44801542,.36939448,9.5313368e-11,8.6515968e-11,0,0,0,0,0,0,24,576,13824,61.924885,1001,1,265633,93.772499,91.464165,1,0,0,0,0,0,0,0,1,56.833752,1,276123,0,7.6165560e-11,1.0969905e-10,0,0,0,0,0,0,0,0,31,0,70,0,70,1,,,8.0725794e-11
Bahamas,31,0,0,1994,25,625,15625,.43186906,276123,56.833752,1,0,1,1001,0,0,.60777831,.18651089,1.2163147e-10,1.0969905e-10,0,0,0,0,0,0,25,625,15625,57.211044,1001,1,270885,93.455002,93.772499,1,0,0,0,0,0,0,0,0,57.498493,1,281241,1,8.6515968e-11,1.0966287e-10,0,0,0,0,0,0,0,0,31,0,90,0,0,0,,,-4.7910561e-11
Bahamas,31,0,0,1995,26,676,17576,.64305121,281241,57.498493,1,0,1,1001,0,0,.43186906,.41351485,1.0360537e-10,1.0966287e-10,0,0,0,0,0,0,26,676,17576,56.833752,1001,1,276123,93.03083,93.455002,1,0,0,0,0,0,1,0,0,57.645683,1,286213,0,1.0969905e-10,1.5715837e-10,0,0,0,0,0,0,0,0,31,0,88.691605,0,0,0,,,2.6170749e-10
Bahamas,31,0,0,1996,27,729,19683,,286213,57.645683,1,0,1,1001,0,0,.64305121,,1.7841358e-10,1.5715837e-10,0,0,0,0,,,27,729,19683,57.498493,1001,1,281241,96.665833,93.03083,1,,,,,,0,0,1,56.75045,1,291059,0,1.0966287e-10,1.4273085e-10,0,0,0,0,,,,,31,,,,,,,,-1.5715837e-10
Bahamas,31,0,0,1997,28,784,21952,,291059,56.75045,1,0,1,1001,0,0,,,1.5010015e-10,1.4273085e-10,0,0,0,0,,,28,784,21952,57.645683,1001,1,286213,102.0325,96.665833,1,,,,,,0,0,0,59.790474,1,295771,0,1.5715837e-10,1.2008013e-10,0,0,0,0,,,,,31,,,,,,,,-1.4273085e-10
Bahamas,31,0,0,1998,29,841,24389,,295771,59.790474,1,0,1,1001,0,0,,,1.0828971e-10,1.2008013e-10,0,0,0,0,,,29,841,24389,56.75045,1001,1,291059,109.12333,102.0325,1,,,,,,0,0,0,62.254456,1,300354,1,1.4273085e-10,8.6631764e-11,0,0,0,0,,,,,31,0,39.090599,0,36.380199,.93066365,,,-1.2008013e-10
Bahamas,31,0,0,1999,30,900,27000,,300354,62.254456,1,0,1,1001,0,0,,,9.2842588e-11,8.6631764e-11,0,0,0,0,,,30,900,27000,59.790474,1001,1,295771,106.45417,109.12333,1,,,,,,1,0,0,62.703701,1,304812,0,1.2008013e-10,7.4274066e-11,0,0,0,0,,,,,31,0,1091.0938,0,0,0,,,-8.6631764e-11
Bahamas,31,0,0,2000,31,961,29791,,304812,62.703701,1,0,1,1001,0,0,,,0,7.4274066e-11,0,0,0,0,,,31,961,29791,62.254456,1001,1,300354,110.07417,106.45417,1,,,,,,0,0,1,62.468853,1,309133,1,8.6631764e-11,0,0,0,0,0,,,,,31,0,6937.0767,0,34.017899,.0049037803,,,-7.4274066e-11
Bahamas,31,0,0,2001,32,1024,32768,,309133,62.468853,1,0,1,1001,0,0,,,0,0,0,0,0,0,,,32,1024,32768,62.703701,1001,1,304812,116.35583,110.07417,1,,,,,,1,0,0,65.228249,1,313319,0,7.4274066e-11,0,0,0,0,0,,,,,31,,,,,,,,0
Bahamas,31,0,0,2002,33,1089,35937,,313319,65.228249,1,0,1,1001,0,0,,,0,0,0,0,0,0,,,33,1089,35937,62.468853,1001,1,309133,115.44833,116.35583,1,,,,,,0,0,1,63.059399,1,317407,0,0,0,0,0,0,0,,,,,31,,,,,,,,0
Bahamas,31,0,0,2003,34,1156,39304,,317407,63.059399,1,0,1,1001,0,0,,,0,0,0,0,0,0,,,34,1156,39304,65.228249,1001,1,313319,106.73666,115.44833,1,,,,,,0,0,0,61.26619,1,321453,3,0,0,0,0,0,0,,,,,31,0,6103.96,0,17.370001,.0028456938,,,0
Bahamas,31,0,0,2004,35,1225,42875,,321453,61.26619,1,0,1,1001,0,0,,,0,0,0,0,0,0,,,35,1225,42875,63.059399,1001,1,317407,101.31084,106.73666,1,,,,,,3,0,0,62.195507,1,325496,1,0,0,0,0,0,0,,,,,31,0,7374.5986,0,2.2734001,.00030827441,,,0
Bahamas,31,0,0,2005,36,1296,46656,,325496,62.195507,1,0,1,1001,0,0,,,0,0,0,0,0,0,,,36,1296,46656,61.26619,1001,1,321453,99.999168,101.31084,1,,,,,,1,0,3,63.530216,1,329551,0,0,0,0,0,0,0,,,,,31,,,,,,,,0
Bahamas,31,0,0,2006,37,1369,50653,,329551,63.530216,1,0,1,1001,0,,,,0,0,0,0,0,0,,,37,1369,50653,62.195507,1001,1,325496,99.859169,99.999168,1,,,,,,0,0,1,56.649963,1,333609,2,0,0,0,0,0,0,,,,,31,,,,,,,,0
Bahamas,31,0,0,2007,38,1444,54872,,333609,56.649963,1,0,1,1001,,,,,0,0,0,0,0,0,,,38,1444,54872,63.530216,1001,1,329551,96.339996,99.859169,1,,,,,,2,,0,,,,,0,,0,0,0,0,,,,,31,,,,,,,,0
Cuba,40,0,0,1970,1,1,1,.39497474,8715168,25.24728,,0,0,10982,0,0,,.15600504,,,0,0,0,0,0,0,1,1,1,,,,,138.04584,,,0,0,0,0,0,1,0,,26.401079,,8870011,0,,4.0483873e-11,0,0,0,0,0,0,0,0,40,,,,,,,,
Cuba,40,0,0,1971,2,4,8,.59734076,8870011,26.401079,,0,0,10982,0,0,.39497474,.35681599,4.0483873e-11,4.0483873e-11,0,0,0,0,0,0,2,4,8,25.24728,10982,,8715168,134.12083,138.04584,,0,0,0,0,0,0,0,1,26.043959,7,9025359,0,,1.0280321e-10,0,0,0,0,0,0,0,0,40,,,,,,,,1.2463867e-10
Cuba,40,0,0,1972,3,9,27,.38004044,9025359,26.043959,7,0,0,10982,0,0,.59734076,.14443073,1.0280321e-10,1.0280321e-10,0,0,0,0,0,0,3,9,27,26.401079,10982,,8870011,123.985,134.12083,7,0,0,0,0,0,0,0,0,25.263153,7,9176119,0,4.0483873e-11,2.0549845e-10,0,0,0,0,0,0,0,0,40,,,,,,,,3.0808572e-10
Cuba,40,0,0,1973,4,16,64,.32852435,9176119,25.263153,7,0,0,10982,0,0,.38004044,.10792825,2.0549845e-10,2.0549845e-10,0,0,0,0,0,0,4,16,64,26.043959,10982,7,9025359,112.57584,123.985,7,0,0,0,0,0,0,0,0,25.727652,7,9315440,0,1.0280321e-10,3.1650216e-10,0,0,0,0,0,0,0,0,40,6831,18150,.37636364,0,0,,,4.4401485e-10
Cuba,40,0,0,1974,5,25,125,.75451553,9315440,25.727652,7,0,0,10982,0,0,.32852435,.56929368,3.1650216e-10,3.1650216e-10,0,0,0,0,0,0,5,25,125,25.263153,10982,7,9176119,107.53333,112.57584,7,0,0,0,0,0,0,0,0,28.068897,7,9438506,0,2.0549845e-10,6.7189515e-10,0,0,0,0,0,0,0,0,40,0,20560.389,0,0,0,,,1.7769649e-09
Cuba,40,0,0,1975,6,36,216,.45801687,9438506,28.068897,7,0,0,10982,0,0,.75451553,.20977946,8.2974799e-10,6.7189515e-10,0,0,0,0,0,0,6,36,216,25.727652,10982,7,9315440,105.59583,107.53333,7,0,0,0,0,0,0,0,0,27.792065,7,9544315,1,3.1650216e-10,1.0728741e-09,0,0,0,0,0,0,0,0,40,0,36977.801,0,0,0,,,1.3734833e-09
Cuba,40,0,0,1976,7,49,343,.28724995,9544315,27.792065,7,0,0,10982,0,0,.45801687,.082512535,1.2998119e-09,1.0728741e-09,0,0,0,0,0,0,7,49,343,28.068897,10982,7,9438506,106.23083,105.59583,7,0,0,0,0,0,1,0,0,28.888636,6,9634712,1,6.7189515e-10,1.7236061e-09,0,0,0,0,0,0,0,0,40,0,16343.727,0,0,0,,,2.3459090e-09
Cuba,40,0,0,1977,8,64,512,.27536768,9634712,28.888636,6,0,0,10982,0,0,.28724995,.07582736,2.0517854e-09,1.7236061e-09,0,0,0,0,0,0,8,64,512,27.792065,10982,7,9544315,104.23333,106.23083,7,0,0,0,0,0,1,0,1,29.09985,6,9711423,1,1.0728741e-09,2.3199358e-09,0,0,0,0,0,0,0,0,40,0,26361.928,0,0,0,,,1.6689302e-09
Cuba,40,0,0,1978,9,81,729,.28857514,9711423,29.09985,6,0,0,10982,0,0,.27536768,.083275616,2.7375413e-09,2.3199358e-09,0,0,0,0,0,0,9,81,729,28.888636,10982,6,9634712,95.864166,104.23333,6,0,0,0,0,0,1,0,1,28.623726,6,9777329,0,1.7236061e-09,2.5295963e-09,0,0,0,0,0,0,0,0,40,0,7118.1982,0,0,0,,,-6.2211980e-10
